Open,High,Low,Close,Volume,Date,POSITIONS,COST,ASSETS,PERCENTAGE
111.52,116.96,111.44,115.8,539765,2017-10-23,51.0,6587.52,5687.5199999999995,0.8633780238997376
113.76,117.6,113.08,117.0,450629,2017-10-24,51.0,6587.52,5801.76,0.8807199067327309
118.4,129.0,117.84,120.88,592483,2017-10-25,51.0,6587.52,6038.400000000001,0.91664237831536
119.12,120.56,117.52,120.32,364553,2017-10-26,51.0,6587.52,6075.12,0.9222165549402506
117.32,119.36,113.24,113.72,233878,2017-10-27,51.0,6587.52,5983.32,0.9082811133780238
115.28,117.56,112.64,114.72,354981,2017-10-30,59.0,7509.76,6801.52,0.9056907277995568
113.8,114.44,112.32,112.64,191053,2017-10-31,59.0,7509.76,6714.2,0.8940631924322481
111.6,114.36,111.24,113.24,239251,2017-11-01,59.0,7509.76,6584.4,0.8767790182376001
113.2,116.56,111.84,112.0,295797,2017-11-02,59.0,7509.76,6678.8,0.8893493267427987
111.4,112.88,111.04,111.72,247180,2017-11-03,59.0,7509.76,6572.6,0.8752077296744504
111.52,111.68,110.52,110.68,183129,2017-11-06,67.0,8401.92,7471.84,0.8893014929920781
110.64,111.36,109.96,111.36,267629,2017-11-07,67.0,8401.92,7412.88,0.8822840493601463
112.24,113.12,110.2,111.4,161880,2017-11-08,67.0,8401.92,7520.08,0.8950430377818404
115.72,119.2,112.8,113.08,522074,2017-11-09,67.0,8401.92,7753.24,0.922793837599025
114.36,116.44,113.6,115.6,211777,2017-11-10,67.0,8401.92,7662.12,0.911948697440585
117.76,117.76,114.12,115.96,167212,2017-11-13,75.0,9344.0,8832.0,0.9452054794520548
117.76,119.92,116.32,116.88,291718,2017-11-14,75.0,9344.0,8832.0,0.9452054794520548
120.32,123.2,118.58,121.16,311210,2017-11-15,75.0,9344.0,9024.0,0.9657534246575342
117.28,117.28,114.88,116.24,312147,2017-11-16,75.0,9344.0,8796.0,0.9413527397260274
116.2,116.4,113.68,114.4,301887,2017-11-17,75.0,9344.0,8715.0,0.9326840753424658
112.84,113.12,110.6,110.8,258918,2017-11-20,83.0,10246.72,9365.720000000001,0.9140212672933389
108.48,108.84,105.88,106.48,394470,2017-11-21,83.0,10246.72,9003.84,0.8787046001061803
105.52,106.52,104.88,105.56,254050,2017-11-22,83.0,10246.72,8758.16,0.8547281471534306
104.84,105.32,104.52,105.08,77969,2017-11-24,83.0,10246.72,8701.720000000001,0.849220043096718
105.4,106.04,104.24,104.84,200529,2017-11-27,92.0,11195.32,9696.800000000001,0.8661476402639675
103.88,105.0,102.96,103.44,395396,2017-11-28,92.0,11195.32,9556.96,0.8536567065523808
103.64,106.96,103.56,105.8,418080,2017-11-29,92.0,11195.32,9534.88,0.8516844538610776
103.92,107.32,103.84,106.12,346078,2017-11-30,92.0,11195.32,9560.64,0.8539854153342646
107.24,120.0,106.16,109.04,1064172,2017-12-01,92.0,11195.32,9866.08,0.881268244230625
104.16,108.2,103.32,108.16,476727,2017-12-04,101.0,12132.76,10520.16,0.8670871260949693
107.16,108.8,104.88,107.68,375474,2017-12-05,101.0,12132.76,10823.16,0.8920608336437875
109.12,109.52,107.08,107.64,325975,2017-12-06,101.0,12132.76,11021.12,0.9083769892423489
107.6,107.72,103.82,104.04,300082,2017-12-07,101.0,12132.76,10867.599999999999,0.8957236440842807
102.44,102.68,100.56,100.76,322773,2017-12-08,101.0,12132.76,10346.44,0.8527688671003135
100.28,100.4,97.16,97.28,253326,2017-12-11,110.0,13035.28,11030.8,0.8462265482597995
96.84,97.76,96.48,97.52,228654,2017-12-12,110.0,13035.28,10652.4,0.8171976359541183
96.68,97.6,96.36,97.16,146647,2017-12-13,110.0,13035.28,10634.800000000001,0.8158474539864123
96.68,98.36,96.2,96.72,228686,2017-12-14,110.0,13035.28,10634.800000000001,0.8158474539864123
95.96,96.036,92.72,93.44,318483,2017-12-15,110.0,13035.28,10555.599999999999,0.8097716351317347
92.2,92.86,91.32,92.16,302349,2017-12-18,120.0,13957.28,11064.0,0.7927045957378515
91.96,93.64,91.92,92.56,260589,2017-12-19,120.0,13957.28,11035.199999999999,0.7906411564430891
90.96,92.68,90.92,92.28,396744,2017-12-20,120.0,13957.28,10915.199999999999,0.7820434927149128
91.88,92.84,91.36,91.56,366071,2017-12-21,120.0,13957.28,11025.599999999999,0.7899533433448349
91.44,92.84,91.0,92.12,125653,2017-12-22,120.0,13957.28,10972.8,0.7861703713044375
92.92,93.04,91.16,92.12,120482,2017-12-26,120.0,13957.28,11150.4,0.7988949136221384
91.8,93.0,90.76,92.64,236368,2017-12-27,120.0,13957.28,11016.0,0.789265530246581
92.16,92.28,91.12,91.12,136939,2017-12-28,120.0,13957.28,11059.199999999999,0.7923606891887244
90.72,92.96,90.72,92.6,218301,2017-12-29,120.0,13957.28,10886.4,0.7799800534201505
92.12,92.56,89.24,89.32,236301,2018-01-02,120.0,13957.28,11054.400000000001,0.7920167826395975
88.28,88.28,87.16,87.56,207831,2018-01-03,120.0,13957.28,10593.6,0.7590017539234005
86.64,87.56,86.28,87.28,213095,2018-01-04,120.0,13957.28,10396.8,0.7449015854091914
87.08,87.72,87.0,87.32,193332,2018-01-05,120.0,13957.28,10449.6,0.7486845574495891
87.08,87.44,85.44,86.2,172172,2018-01-08,131.0,14915.16,11407.48,0.764824514118521
