OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS,PERCENTAGE
51.5500,51.7300,50.7300,51.1200,97842900,0.0000,0,QQQ,2011-02-23,30.0000,1552.2000,1546.5000,0.9963
51.2300,51.5500,50.7400,51.3900,98716100,0.0000,0,QQQ,2011-02-24,30.0000,1552.2000,1536.9000,0.9901
51.6800,52.1700,51.6300,52.1100,54094600,0.0000,0,QQQ,2011-02-25,30.0000,1552.2000,1550.4000,0.9988
52.3200,52.4700,51.9100,52.2200,51402800,0.0000,0,QQQ,2011-02-28,40.0000,2075.4000,2092.8000,1.0084
52.4400,52.4400,51.2500,51.3800,91993900,0.0000,0,QQQ,2011-03-01,40.0000,2075.4000,2097.6000,1.0107
51.3500,51.9800,51.3300,51.6500,61552900,0.0000,0,QQQ,2011-03-02,40.0000,2075.4000,2054.0000,0.9897
52.1300,52.7600,52.1300,52.6700,64146600,0.0000,0,QQQ,2011-03-03,40.0000,2075.4000,2085.2000,1.0047
52.6500,52.6600,52.0500,52.4000,62328400,0.0000,0,QQQ,2011-03-04,40.0000,2075.4000,2106.0000,1.0147
52.6100,52.6600,51.2200,51.6900,98470000,0.0000,0,QQQ,2011-03-07,50.0000,2601.5000,2630.5000,1.0111
51.6300,52.1300,51.3100,51.9000,62399100,0.0000,0,QQQ,2011-03-08,50.0000,2601.5000,2581.5000,0.9923
51.7100,51.7600,51.2700,51.5500,84764200,0.0000,0,QQQ,2011-03-09,50.0000,2601.5000,2585.5000,0.9938
50.9700,51.0900,50.5300,50.7400,102894400,0.0000,0,QQQ,2011-03-10,50.0000,2601.5000,2548.5000,0.9796
50.4500,51.2100,50.4500,51.0600,81679400,0.0000,0,QQQ,2011-03-11,50.0000,2601.5000,2522.5000,0.9696
50.7800,51.1500,50.4900,50.8800,73565800,0.0000,0,QQQ,2011-03-14,60.0000,3109.3000,3046.8000,0.9799
49.3900,50.4500,49.2300,50.1500,101276500,0.0000,0,QQQ,2011-03-15,60.0000,3109.3000,2963.4000,0.9531
49.7400,50.0200,48.6000,48.9400,176507700,0.0000,0,QQQ,2011-03-16,60.0000,3109.3000,2984.4000,0.9598
49.7200,49.9300,48.9300,49.4000,94434500,0.0000,0,QQQ,2011-03-17,60.0000,3109.3000,2983.2000,0.9594
49.9800,49.9800,49.2500,49.2800,94887200,0.0800,0,QQQ,2011-03-18,60.0000,3109.3000,2998.8000,0.9645
50.0400,50.4900,49.3300,50.2300,57423000,0.0000,0,QQQ,2011-03-21,70.0000,3609.7000,3502.8000,0.9704
50.3100,50.3300,50.0400,50.1400,36162100,0.0000,0,QQQ,2011-03-22,70.0000,3609.7000,3521.7000,0.9756
49.9600,50.5700,49.6200,50.4200,60365100,0.0000,0,QQQ,2011-03-23,70.0000,3609.7000,3497.2000,0.9688
50.8100,51.4300,50.5200,51.3200,69502400,0.0000,0,QQQ,2011-03-24,70.0000,3609.7000,3556.7000,0.9853
51.4800,51.7900,51.3500,51.4500,74131100,0.0000,0,QQQ,2011-03-25,70.0000,3609.7000,3603.6000,0.9983
51.6700,51.6800,51.1400,51.1700,37824000,0.0000,0,QQQ,2011-03-28,80.0000,4126.4000,4133.6000,1.0017
51.0500,51.6600,50.9000,51.6600,47994800,0.0000,0,QQQ,2011-03-29,80.0000,4126.4000,4084.0000,0.9897
51.9200,51.9800,51.6600,51.9100,44935900,0.0000,0,QQQ,2011-03-30,80.0000,4126.4000,4153.6000,1.0066
51.8200,52.0300,51.7300,51.9800,50004300,0.0000,0,QQQ,2011-03-31,80.0000,4126.4000,4145.6000,1.0047
52.2400,52.4100,51.8500,52.0100,68031800,0.0000,0,QQQ,2011-04-01,80.0000,4126.4000,4179.2000,1.0128
