Open,High,Low,Close,Volume,Date,POSITIONS,COST,ASSETS,PERCENTAGE
98.16,100.0,98.08,99.76,2423105,2018-03-09,231.0,20866.160000000003,22674.96,1.0866858109014785
99.28,99.52,97.76,98.96,2185134,2018-03-12,241.0,21858.960000000003,23926.48,1.0945845548004112
98.48,99.99,97.2,97.92,3024240,2018-03-13,241.0,21858.960000000003,23733.68,1.0857643730534297
98.24,98.72,97.08,98.24,2319625,2018-03-14,241.0,21858.960000000003,23675.84,1.0831183185293352
98.8,99.32,98.32,98.72,1467356,2018-03-15,241.0,21858.960000000003,23810.8,1.0892924457522222
98.8,100.96,98.56,100.4,3485082,2018-03-16,241.0,21858.960000000003,23810.8,1.0892924457522222
100.56,100.63,99.12,100.4,2855362,2018-03-19,250.0,22764.000000000004,25140.0,1.1043753294675802
102.08,103.19,101.68,102.48,2281837,2018-03-20,250.0,22764.000000000004,25520.0,1.121068353540678
103.68,105.68,103.44,105.44,2886028,2018-03-21,250.0,22764.000000000004,25920.0,1.1386399578281494
104.08,104.4,103.44,103.6,1966450,2018-03-22,250.0,22764.000000000004,26020.0,1.1430328589000174
104.72,106.4,104.64,106.24,2269887,2018-03-23,250.0,22764.000000000004,26180.0,1.150061500615006
105.84,106.24,104.96,105.68,3121832,2018-03-26,259.0,23716.560000000005,27412.56,1.1558404760218175
106.24,106.32,104.28,104.64,2577165,2018-03-27,259.0,23716.560000000005,27516.16,1.1602087317890957
104.16,105.04,102.8,104.32,2372903,2018-03-28,259.0,23716.560000000005,26977.44,1.1374938017992489
103.92,105.28,103.52,104.72,2040579,2018-03-29,259.0,23716.560000000005,26915.28,1.134872848338882
103.84,103.84,101.6,101.92,2413919,2018-04-02,268.0,24651.120000000006,27829.120000000003,1.1289190917086118
102.24,102.88,101.76,102.48,1146828,2018-04-03,268.0,24651.120000000006,27400.32,1.1115243445328242
100.4,102.64,100.16,102.56,2538850,2018-04-04,268.0,24651.120000000006,26907.2,1.0915203852806685
102.56,103.48,101.92,102.64,2155790,2018-04-05,268.0,24651.120000000006,27486.08,1.1150032939679817
102.4,102.76,99.76,100.08,3147510,2018-04-06,268.0,24651.120000000006,27443.2,1.113263819250403
101.52,102.64,101.36,102.16,1601759,2018-04-09,277.0,25564.800000000007,28121.039999999997,1.0999906120916256
104.16,106.16,104.16,106.0,2972674,2018-04-10,277.0,25564.800000000007,28852.32,1.128595568907247
106.4,108.73,106.0,107.6,3085557,2018-04-11,277.0,25564.800000000007,29472.800000000003,1.1528664413568654
107.2,108.32,106.4,108.16,1859006,2018-04-12,277.0,25564.800000000007,29694.4,1.161534610088872
108.4,109.12,108.0,108.4,1770344,2018-04-13,277.0,25564.800000000007,30026.800000000003,1.1745368631868818
107.92,107.99,106.72,107.04,1753078,2018-04-16,286.0,26536.080000000005,30865.12,1.1631378862288624
106.16,107.52,105.92,107.28,1644390,2018-04-17,286.0,26536.080000000005,30361.76,1.1441689955713124
109.6,111.2,109.12,111.04,3322393,2018-04-18,286.0,26536.080000000005,31345.6,1.1812445545837966
111.6,112.0,109.79,110.16,2178551,2018-04-19,286.0,26536.080000000005,31917.6,1.2028001121491942
109.28,110.72,108.96,110.0,1478880,2018-04-20,286.0,26536.080000000005,31254.08,1.177795665373333
108.88,111.52,108.4,111.36,2074094,2018-04-23,295.0,27516.000000000004,32119.6,1.167306294519552
