Open,High,Low,Close,Volume,Date
87.2,88.04,86.96799999999999,87.92,1259890,2017-11-02
88.0,89.6,87.4,89.44,2355765,2017-11-03
89.52,92.535,89.361,92.08,3842470,2017-11-06
91.76,92.24,91.36,91.92,2236468,2017-11-07
91.52,93.04,90.64,91.28,4651823,2017-11-08
91.36,92.4,91.2,91.68,2457473,2017-11-09
91.84,92.16,90.88,91.36,1462624,2017-11-10
91.36,91.84,90.48,91.04,1732753,2017-11-13
90.8,90.88,88.64,89.04,2688556,2017-11-14
88.64,89.2,88.16,88.72,1721941,2017-11-15
88.56,89.36,88.24,88.56,1528111,2017-11-16
89.68,90.88,89.56,90.8,2048349,2017-11-17
90.16,90.32,89.2,90.24,1429745,2017-11-20
90.4,91.56,90.4,91.2,1526915,2017-11-21
92.4,92.96,91.76,92.8,2245271,2017-11-22
93.92,94.32,93.6,94.32,1174267,2017-11-24
93.2,93.4,92.08,92.72,1735046,2017-11-27
92.48,93.0,92.24,92.64,1013502,2017-11-28
92.64,93.28,90.84,91.76,2011663,2017-11-29
92.4,92.64,90.961,91.76,2227370,2017-11-30
93.2,94.24,92.8,93.36,1768083,2017-12-01
92.32,92.64,91.775,91.92,1516423,2017-12-04
91.76,92.68,91.68,92.32,1613271,2017-12-05
91.2,91.28,89.44,89.6,2415141,2017-12-06
90.16,90.88,90.068,90.64,1137035,2017-12-07
92.16,92.4,91.2,91.92,1178327,2017-12-08
92.32,92.88,91.96799999999999,92.8,1793416,2017-12-11
93.12,93.12,90.96,91.52,3098474,2017-12-12
91.68,91.82,90.4,90.64,2270366,2017-12-13
89.76,91.44,89.68,91.44,1133348,2017-12-14
91.76,91.92,91.16,91.68,1200736,2017-12-15
92.0,92.2,90.96,91.52,1633500,2017-12-18
91.84,92.08,91.6,92.08,856010,2017-12-19
92.32,92.96,91.84,92.88,1264716,2017-12-20
92.32,93.36,92.16,93.12,1391803,2017-12-21
92.64,93.52,92.64,93.28,823693,2017-12-22
93.84,95.92,93.795,95.6,2199746,2017-12-26
95.44,95.68,94.96,95.36,1033771,2017-12-27
95.28,95.84,95.04,95.76,1545941,2017-12-28
96.16,96.72,95.84,96.08,1474681,2017-12-29
96.56,96.8,96.08,96.56,1497583,2018-01-02
97.36,98.84,97.36,98.72,2155258,2018-01-03
98.64,99.36,98.48,98.96,1479037,2018-01-04
98.24,98.64,97.68,98.48,1581157,2018-01-05
98.48,99.04,98.12,99.04,1227473,2018-01-08
99.28,101.12,98.96,100.56,2663004,2018-01-09
101.36,101.64,100.8,101.44,1821376,2018-01-10
102.08,103.36,101.6,101.6,2578790,2018-01-11
101.44,103.12,101.21,102.96,2833173,2018-01-12
102.48,102.88,101.44,102.08,2277795,2018-01-16
101.84,102.72,101.68,102.24,1992880,2018-01-17
102.0,102.8,101.6,102.08,2075683,2018-01-18
101.44,101.92,100.89,101.76,2167357,2018-01-19
101.44,102.72,101.04,102.24,1866107,2018-01-22
102.72,103.92,102.62,103.76,2073245,2018-01-23
103.52,105.84,103.28,105.76,3267301,2018-01-24
106.24,106.4,104.24,104.48,2094911,2018-01-25
104.88,106.32,104.8,105.92,3971980,2018-01-26
104.88,105.2,104.08,104.88,1975934,2018-01-29
103.52,103.6,102.72,103.2,4300993,2018-01-30
103.28,104.08,102.32,103.84,2657380,2018-01-31
104.64,106.08,104.24,105.92,2509162,2018-02-01
104.96,105.36,103.32,104.32,3593230,2018-02-02
104.24,104.56,101.84,102.16,3835139,2018-02-05
101.6,103.04,101.36,101.6,2954536,2018-02-06
101.76,102.48,98.24,98.96,4612658,2018-02-07
99.36,99.48,96.64,96.72,3407319,2018-02-08
96.88,97.12,93.19200000000001,94.88,5393895,2018-02-09
95.84,96.76,94.92,95.12,2038865,2018-02-12
94.32,95.432,93.68,94.96,2371136,2018-02-13
93.84,97.8,93.52,97.44,4467412,2018-02-14
96.72,98.88,95.911,98.64,2405048,2018-02-15
98.16,99.52,97.76,99.04,2199660,2018-02-16
99.36,100.48,98.8,99.12,2719723,2018-02-20
98.64,99.52,98.24,98.32,1422518,2018-02-21
99.68,101.48,99.066,100.72,2411641,2018-02-22
100.88,102.56,100.76,102.16,2299848,2018-02-23
101.84,103.32,101.45,102.88,1747928,2018-02-26
102.72,102.8,100.89,101.2,2128953,2018-02-27
101.68,102.08,98.72,98.96,3475799,2018-02-28
98.08,99.04,96.88,98.8,3238868,2018-03-01
97.76,98.96,96.8,98.96,2254716,2018-03-02
98.64,101.04,98.552,100.72,2458353,2018-03-05
100.96,101.08,100.04,100.56,2256982,2018-03-06
99.84,100.72,97.52,98.8,3119717,2018-03-07
98.56,98.64,96.64,97.2,2881230,2018-03-08
98.16,100.0,98.08,99.76,2423105,2018-03-09
99.28,99.52,97.76,98.96,2185134,2018-03-12
98.48,99.99,97.2,97.92,3024240,2018-03-13
98.24,98.72,97.08,98.24,2319625,2018-03-14
98.8,99.32,98.32,98.72,1467356,2018-03-15
98.8,100.96,98.56,100.4,3485082,2018-03-16
100.56,100.63,99.12,100.4,2855362,2018-03-19
102.08,103.19,101.68,102.48,2281837,2018-03-20
103.68,105.68,103.44,105.44,2886028,2018-03-21
104.08,104.4,103.44,103.6,1966450,2018-03-22
104.72,106.4,104.64,106.24,2269887,2018-03-23
105.84,106.24,104.96,105.68,3121832,2018-03-26
106.24,106.32,104.28,104.64,2577165,2018-03-27
104.16,105.04,102.8,104.32,2372903,2018-03-28
103.92,105.28,103.52,104.72,2040579,2018-03-29
103.84,103.84,101.6,101.92,2413919,2018-04-02
102.24,102.88,101.76,102.48,1146828,2018-04-03
100.4,102.64,100.16,102.56,2538850,2018-04-04
102.56,103.48,101.92,102.64,2155790,2018-04-05
102.4,102.76,99.76,100.08,3147510,2018-04-06
101.52,102.64,101.36,102.16,1601759,2018-04-09
104.16,106.16,104.16,106.0,2972674,2018-04-10
106.4,108.73,106.0,107.6,3085557,2018-04-11
107.2,108.32,106.4,108.16,1859006,2018-04-12
108.4,109.12,108.0,108.4,1770344,2018-04-13
107.92,107.99,106.72,107.04,1753078,2018-04-16
106.16,107.52,105.92,107.28,1644390,2018-04-17
109.6,111.2,109.12,111.04,3322393,2018-04-18
111.6,112.0,109.79,110.16,2178551,2018-04-19
109.28,110.72,108.96,110.0,1478880,2018-04-20
108.88,111.52,108.4,111.36,2074094,2018-04-23
110.8,112.0,109.04,109.44,2510055,2018-04-24
109.52,110.08,108.36,109.76,1707313,2018-04-25
110.64,110.72,109.36,110.16,2151707,2018-04-26
109.44,110.4,109.38,109.84,1601478,2018-04-27
108.96,112.0,108.8,110.4,3617162,2018-04-30
109.52,109.6,108.0,108.88,2011511,2018-05-01
108.48,110.04,108.08,109.36,1727873,2018-05-02
109.04,110.77,108.62,110.56,1519749,2018-05-03
110.64,113.04,110.62,112.72,2346757,2018-05-04
113.52,114.4,112.24,112.8,3598651,2018-05-07
113.44,113.75,109.24,112.48,6607808,2018-05-08
114.16,115.28,114.08,114.96,2435308,2018-05-09
115.04,115.52,114.0,115.28,1953385,2018-05-10
114.96,115.4,113.92,114.0,1758750,2018-05-11
114.4,115.2,114.28,115.04,2033307,2018-05-14
114.96,115.52,114.0,115.2,2236963,2018-05-15
114.72,115.84,114.4,115.68,1683020,2018-05-16
116.32,117.04,115.16,115.92,2149868,2018-05-17
115.52,116.0,114.96,115.44,1557264,2018-05-18
115.84,117.36,115.72,117.36,1681883,2018-05-21
117.2,117.92,116.4,116.48,2459500,2018-05-22
116.24,116.64,115.12,116.08,2011440,2018-05-23
114.32,115.2,114.16,114.32,1931740,2018-05-24
111.44,111.44,109.2,109.44,5070306,2018-05-25
108.56,108.8,106.64,108.08,3289130,2018-05-29
