Open,High,Low,Close,Volume,Date,POSITIONS,COST,ASSETS,PERCENTAGE
111.52,116.96,111.44,115.8,539765,2017-10-23,24.0,3090.2000000000003,2676.48,0.8661186978189114
113.76,117.6,113.08,117.0,450629,2017-10-24,24.0,3090.2000000000003,2730.2400000000002,0.8835156300563071
118.4,129.0,117.84,120.88,592483,2017-10-25,24.0,3090.2000000000003,2841.6000000000004,0.9195521325480551
119.12,120.56,117.52,120.32,364553,2017-10-26,24.0,3090.2000000000003,2858.88,0.9251440036243609
117.32,119.36,113.24,113.72,233878,2017-10-27,24.0,3090.2000000000003,2815.68,0.9111643259335964
115.28,117.56,112.64,114.72,354981,2017-10-30,28.0,3551.32,3227.84,0.90891274230427
113.8,114.44,112.32,112.64,191053,2017-10-31,28.0,3551.32,3186.4,0.8972438417264567
111.6,114.36,111.24,113.24,239251,2017-11-01,28.0,3551.32,3124.7999999999997,0.8798981787053827
113.2,116.56,111.84,112.0,295797,2017-11-02,28.0,3551.32,3169.6,0.8925132063570728
111.4,112.88,111.04,111.72,247180,2017-11-03,28.0,3551.32,3119.2000000000003,0.8783213002489215
111.52,111.68,110.52,110.68,183129,2017-11-06,32.0,3997.4,3568.64,0.8927402811827687
110.64,111.36,109.96,111.36,267629,2017-11-07,32.0,3997.4,3540.48,0.8856957022064341
112.24,113.12,110.2,111.4,161880,2017-11-08,32.0,3997.4,3591.68,0.8985040276179516
115.72,119.2,112.8,113.08,522074,2017-11-09,32.0,3997.4,3703.04,0.9263621353880022
114.36,116.44,113.6,115.6,211777,2017-11-10,32.0,3997.4,3659.52,0.9154750587882123
117.76,117.76,114.12,115.96,167212,2017-11-13,36.0,4468.4400000000005,4239.360000000001,0.948733786287832
117.76,119.92,116.32,116.88,291718,2017-11-14,36.0,4468.4400000000005,4239.360000000001,0.948733786287832
120.32,123.2,118.58,121.16,311210,2017-11-15,36.0,4468.4400000000005,4331.5199999999995,0.9693584338158281
117.28,117.28,114.88,116.24,312147,2017-11-16,36.0,4468.4400000000005,4222.08,0.9448666648763325
116.2,116.4,113.68,114.4,301887,2017-11-17,36.0,4468.4400000000005,4183.2,0.9361656417004591
112.84,113.12,110.6,110.8,258918,2017-11-20,40.0,4919.8,4513.6,0.9174356681165902
108.48,108.84,105.88,106.48,394470,2017-11-21,40.0,4919.8,4339.2,0.8819870726452295
105.52,106.52,104.88,105.56,254050,2017-11-22,40.0,4919.8,4220.8,0.85792105370137
104.84,105.32,104.52,105.08,77969,2017-11-24,40.0,4919.8,4193.6,0.8523923736737267
105.4,106.04,104.24,104.84,200529,2017-11-27,44.0,5341.400000000001,4637.6,0.8682367918523234
103.88,105.0,102.96,103.44,395396,2017-11-28,44.0,5341.400000000001,4570.719999999999,0.8557157299584377
103.64,106.96,103.56,105.8,418080,2017-11-29,44.0,5341.400000000001,4560.16,0.853738720185719
103.92,107.32,103.84,106.12,346078,2017-11-30,44.0,5341.400000000001,4572.4800000000005,0.8560452315872243
107.24,120.0,106.16,109.04,1064172,2017-12-01,44.0,5341.400000000001,4718.5599999999995,0.8833938667765003
104.16,108.2,103.32,108.16,476727,2017-12-04,48.0,5758.040000000001,4999.68,0.8682954616501447
107.16,108.8,104.88,107.68,375474,2017-12-05,48.0,5758.040000000001,5143.68,0.8933039714902987
109.12,109.52,107.08,107.64,325975,2017-12-06,48.0,5758.040000000001,5237.76,0.909642864585866
107.6,107.72,103.82,104.04,300082,2017-12-07,48.0,5758.040000000001,5164.799999999999,0.8969718862668544
102.44,102.68,100.56,100.76,322773,2017-12-08,48.0,5758.040000000001,4917.12,0.8539572493417897
100.28,100.4,97.16,97.28,253326,2017-12-11,52.0,6159.160000000001,5214.56,0.8466349307373083
96.84,97.76,96.48,97.52,228654,2017-12-12,52.0,6159.160000000001,5035.68,0.8175920092999694
96.68,97.6,96.36,97.16,146647,2017-12-13,52.0,6159.160000000001,5027.360000000001,0.8162411757447444
96.68,98.36,96.2,96.72,228686,2017-12-14,52.0,6159.160000000001,5027.360000000001,0.8162411757447444
95.96,96.036,92.72,93.44,318483,2017-12-15,52.0,6159.160000000001,4989.92,0.8101624247462316
92.2,92.86,91.32,92.16,302349,2017-12-18,57.0,6620.160000000001,5255.400000000001,0.7938478828306265
91.96,93.64,91.92,92.56,260589,2017-12-19,57.0,6620.160000000001,5241.719999999999,0.7917814675174012
90.96,92.68,90.92,92.28,396744,2017-12-20,57.0,6620.160000000001,5184.719999999999,0.7831714037122968
91.88,92.84,91.36,91.56,366071,2017-12-21,57.0,6620.160000000001,5237.16,0.7910926624129929
91.44,92.84,91.0,92.12,125653,2017-12-22,57.0,6620.160000000001,5212.08,0.787304234338747
92.92,93.04,91.16,92.12,120482,2017-12-26,57.0,6620.160000000001,5296.4400000000005,0.8000471287703016
91.8,93.0,90.76,92.64,236368,2017-12-27,57.0,6620.160000000001,5232.599999999999,0.7904038573085845
92.16,92.28,91.12,91.12,136939,2017-12-28,57.0,6620.160000000001,5253.12,0.7935034802784222
90.72,92.96,90.72,92.6,218301,2017-12-29,57.0,6620.160000000001,5171.04,0.7811049883990718
92.12,92.56,89.24,89.32,236301,2018-01-02,57.0,6620.160000000001,5250.84,0.7931590777262181
88.28,88.28,87.16,87.56,207831,2018-01-03,57.0,6620.160000000001,5031.96,0.7600964327146171
86.64,87.56,86.28,87.28,213095,2018-01-04,57.0,6620.160000000001,4938.4800000000005,0.745975928074246
87.08,87.72,87.0,87.32,193332,2018-01-05,57.0,6620.160000000001,4963.5599999999995,0.7497643561484917
87.08,87.44,85.44,86.2,172172,2018-01-08,62.0,7055.56,5398.96,0.7652064471140491
85.64,87.16,85.4,87.08,195613,2018-01-09,62.0,7055.56,5309.68,0.7525525968172618
88.12,89.214,85.76,86.24,326123,2018-01-10,62.0,7055.56,5463.4400000000005,0.7743453389950621
85.44,86.0,84.96,85.72,166590,2018-01-11,62.0,7055.56,5297.28,0.7507951176093747
85.36,86.08,85.12,85.76,226409,2018-01-12,62.0,7055.56,5292.32,0.7500921259262198
86.32,91.96,86.12,91.04,673038,2018-01-16,62.0,7055.56,5351.839999999999,0.7585280261240779
90.0,92.56,87.12,88.92,661718,2018-01-17,62.0,7055.56,5580.0,0.7908656435492009
90.48,92.32,88.0,89.36,663840,2018-01-18,62.0,7055.56,5609.76,0.79508359364813
89.12,90.84,88.72,89.04,360658,2018-01-19,62.0,7055.56,5525.4400000000005,0.7831327350344977
89.68,89.68,86.38,87.16,299883,2018-01-22,67.0,7503.96,6008.56,0.8007185539368548
88.08,89.52,87.36,88.56,402352,2018-01-23,67.0,7503.96,5901.36,0.7864327635008715
89.08,93.24,89.0,90.88,594144,2018-01-24,67.0,7503.96,5968.36,0.795361382523361
90.4,93.92,90.32,92.4,444713,2018-01-25,67.0,7503.96,6056.8,0.8071471596330471
91.52,92.96,91.28,91.72,278245,2018-01-26,67.0,7503.96,6131.84,0.8171472129382353
93.96,98.6,90.2,98.4,397963,2018-01-29,72.0,7973.76,6765.12,0.8484228268721405
101.8,106.12,100.0,101.52,1073180,2018-01-30,72.0,7973.76,7329.599999999999,0.9192150252829279
99.32,102.4,97.92,99.2,583562,2018-01-31,72.0,7973.76,7151.039999999999,0.8968215747652298
100.0,100.96,92.98,96.16,820616,2018-02-01,72.0,7973.76,7200.0,0.9029617144233084
99.08,111.2,99.08,109.24,1919343,2018-02-02,72.0,7973.76,7133.76,0.894654466650614
114.76,147.84,107.0,146.64,2516444,2018-02-05,76.0,8432.800000000001,8721.76,1.0342661986528792
180.32,183.44,140.0,141.88,2543046,2018-02-06,76.0,8432.800000000001,13704.32,1.6251209562660087
148.96,150.4,134.76,147.48,1896477,2018-02-07,57.0,6324.6,10278.24,1.6251209562660087
148.92,183.44,148.32,183.08,2272763,2018-02-08,57.0,6324.6,8488.439999999999,1.342130727634949
167.64,187.36,161.21,165.64,894070,2018-02-09,57.0,6324.6,9555.48,1.5108433734939757
159.96,167.82,156.04,158.72,805692,2018-02-12,60.0,6804.4800000000005,9597.6,1.4104825056433408
162.88,164.92,157.28,158.88,929754,2018-02-13,60.0,6804.4800000000005,9772.8,1.4362302483069975
157.96,158.8,139.92,140.32,1132914,2018-02-14,60.0,6804.4800000000005,9477.6,1.3928470654627538
135.8,143.08,135.28,137.6,505465,2018-02-15,60.0,6804.4800000000005,8148.000000000001,1.1974463882618511
141.68,142.24,133.84,139.52,1009650,2018-02-16,60.0,6804.4800000000005,8500.800000000001,1.2492945823927766
