Open,High,Low,Close,Volume,Date,POSITIONS,COST,ASSETS,PERCENTAGE
156.68,160.36,156.28,157.12,329262,2017-08-28,0.0,0.0,0.0,0.0
168.56,169.52,158.52,159.0,581055,2017-08-29,0.0,0.0,0.0,0.0
158.8,160.16,157.16,158.16,347081,2017-08-30,0.0,0.0,0.0,0.0
157.16,157.44,153.48,153.84,419097,2017-08-31,0.0,0.0,0.0,0.0
152.48,153.88,151.92,153.4,296972,2017-09-01,0.0,0.0,0.0,0.0
159.04,168.6,155.96,161.76,664788,2017-09-05,0.0,0.0,0.0,0.0
158.44,162.24,157.6,158.0,258624,2017-09-06,0.0,0.0,0.0,0.0
158.0,160.48,156.08,157.2,255989,2017-09-07,0.0,0.0,0.0,0.0
159.56,162.24,158.76,161.04,263994,2017-09-08,0.0,0.0,0.0,0.0
155.32,155.32,151.04,152.08,426984,2017-09-11,10.0,1553.1999999999998,1553.1999999999998,1.0
150.0,150.96,148.0,148.0,255536,2017-09-12,10.0,1553.1999999999998,1500.0,0.9657481328869432
148.0,148.08,142.76,142.84,251439,2017-09-13,10.0,1553.1999999999998,1480.0,0.9528714911151173
144.76,145.24,142.8,144.76,214992,2017-09-14,10.0,1553.1999999999998,1447.6,0.9320113314447592
144.16,144.16,141.96,142.28,257932,2017-09-15,10.0,1553.1999999999998,1441.6,0.9281483389132115
140.32,140.36,134.88,136.0,375451,2017-09-18,20.0,2956.3999999999996,2806.3999999999996,0.9492626166959816
136.04,137.84,135.84,136.0,271962,2017-09-19,20.0,2956.3999999999996,2720.7999999999997,0.9203084832904884
136.76,141.36,135.44,136.12,313613,2017-09-20,20.0,2956.3999999999996,2735.2,0.9251792720876743
135.8,137.76,135.4,136.12,235515,2017-09-21,20.0,2956.3999999999996,2716.0,0.9186848870247599
138.6,139.52,136.08,136.88,224318,2017-09-22,20.0,2956.3999999999996,2772.0,0.9376268434582602
137.44,141.32,135.56,137.16,502357,2017-09-25,30.0,4330.799999999999,4123.2,0.9520642837351068
136.2,137.84,134.88,135.48,333256,2017-09-26,30.0,4330.799999999999,4085.9999999999995,0.943474646716542
134.08,135.92,133.44,134.76,297733,2017-09-27,30.0,4330.799999999999,4022.4000000000005,0.9287891382654477
135.08,135.28,132.56,132.68,196790,2017-09-28,30.0,4330.799999999999,4052.4000000000005,0.9357162648933225
132.44,133.44,129.88,130.12,284166,2017-09-29,30.0,4330.799999999999,3973.2,0.917428650595733
129.36,129.44,126.4,127.36,282137,2017-10-02,40.0,5624.4,5174.400000000001,0.9199914657563475
126.32,127.68,126.08,127.08,153512,2017-10-03,40.0,5624.4,5052.799999999999,0.8983713818362847
127.36,128.28,126.76,127.32,165091,2017-10-04,40.0,5624.4,5094.4,0.9057677263352535
126.4,126.56,122.92,123.0,314065,2017-10-05,40.0,5624.4,5056.0,0.8989403314131286
123.64,126.28,123.24,123.28,349609,2017-10-06,40.0,5624.4,4945.6,0.8793115710120192
123.0,126.96,122.76,125.6,137598,2017-10-09,50.0,6854.4,6150.0,0.897233893557423
123.64,125.8,122.5,122.92,170140,2017-10-10,50.0,6854.4,6182.0,0.9019024276377218
122.68,123.4,120.04,120.36,156281,2017-10-11,50.0,6854.4,6134.0,0.8948996265172736
120.64,121.59,118.4,119.64,204714,2017-10-12,50.0,6854.4,6032.0,0.8800186741363213
118.36,118.68,116.4,117.52,188057,2017-10-13,50.0,6854.4,5918.0,0.8633870214752568
116.2,117.12,115.12,115.4,241798,2017-10-16,60.0,8016.4,6972.0,0.8697170799860287
115.72,116.8,115.16,115.76,232487,2017-10-17,60.0,8016.4,6943.2,0.8661244448879797
115.12,115.36,114.32,115.12,214132,2017-10-18,60.0,8016.4,6907.200000000001,0.8616336510154186
118.92,120.16,114.16,114.32,386162,2017-10-19,60.0,8016.4,7135.2,0.8900753455416397
